iter	Passed	Remaining
155	385	2088
156	387	2078
157	387	2067
158	388	2057
159	391	2055
160	392	2044
161	393	2036
162	394	2027
163	396	2019
164	399	2023
165	401	2014
166	402	2005
167	403	1996
168	409	2012
169	410	2004
170	413	2003
171	414	1995
172	415	1987
173	416	1978
174	417	1968
175	420	1970
176	422	1964
177	423	1957
178	424	1948
179	426	1941
180	428	1938
181	429	1930
182	430	1921
183	431	1912
184	432	1903
185	433	1899
186	436	1899
187	437	1891
188	438	1882
189	439	1874
190	442	1876
191	444	1869
192	445	1863
193	446	1855
194	449	1855
195	450	1849
196	452	1843
197	454	1839
198	456	1838
199	457	1831
200	460	1829
201	463	1831
202	465	1827
203	467	1823
204	468	1816
205	469	1809
206	472	1810
207	474	1806
208	476	1801
209	479	1804
210	481	1798
211	482	1791
212	483	1785
213	484	1777
214	485	1774
215	487	1767
216	489	1766
217	490	1759
218	491	1752
219	493	1749
220	494	1744
221	496	1739
222	497	1732
223	498	1725
224	498	1718
225	500	1715
226	503	1714
227	504	1709
228	506	1703
229	508	1702
230	510	1700
231	512	1695
232	513	1689
233	516	1689
234	518	1687
235	520	1684
236	521	1680
237	523	1676
238	524	1670
239	525	1665
240	527	1659
241	527	1653
242	529	1650
243	531	1645
244	532	1639
245	533	1636
246	534	1630
247	536	1626
248	537	1622
249	538	1616
250	540	1612
251	541	1606
252	541	1600
253	544	1597
254	545	1594
255	546	1588
256	548	1584
257	548	1578
258	549	1572
259	551	1570
260	553	1567
261	554	1563
262	555	1557
263	556	1552
264	558	1547
265	559	1544
266	560	1539
267	562	1535
268	563	1530
269	563	1524
270	565	1522
271	567	1518
272	568	1514
273	569	1508
274	570	1505
275	572	1500
276	574	1499
277	575	1493
278	576	1489
279	577	1484
280	578	1479
281	578	1474
282	580	1470
283	582	1467
284	582	1462
285	583	1457
286	584	1452
287	585	1447
288	586	1442
289	588	1441
290	590	1438
291	591	1433
292	592	1428
293	593	1424
294	593	1419
295	595	1415
296	597	1413
297	598	1409
298	599	1405
299	600	1400
300	601	1395
301	601	1391
302	603	1388
303	604	1384
304	605	1380
305	606	1375
306	607	1371
307	608	1366
308	609	1361
309	610	1359
310	612	1357
311	614	1354
312	615	1350
313	615	1345
314	617	1343
315	619	1340
316	620	1336
317	621	1331
318	621	1327
319	622	1323
320	623	1318
321	624	1315
322	625	1311
323	627	1308
324	628	1305
325	629	1301
326	630	1297
327	631	1293
328	632	1289
329	632	1284
330	634	1281
331	635	1279
332	636	1275
333	637	1271
334	638	1267
335	639	1263
336	640	1259
337	642	1259
338	645	1259
339	646	1255
340	647	1251
341	648	1247
342	649	1244
343	651	1243
344	652	1239
345	653	1235
346	654	1231
347	655	1227
348	656	1224
349	657	1220
350	659	1219
351	660	1215
352	661	1212
353	662	1208
354	662	1204
355	663	1200
356	664	1197
357	666	1195
358	667	1191
359	668	1188
360	669	1184
361	669	1180
362	670	1176
363	671	1173
364	673	1171
365	675	1169
366	676	1166
367	676	1162
368	677	1158
369	678	1155
370	679	1151
371	681	1150
372	683	1148
373	683	1144
374	684	1141
375	685	1137
376	686	1134
377	687	1131
378	691	1132
379	691	1129
380	692	1125
381	693	1122
382	694	1119
383	696	1117
384	697	1114
385	698	1111
386	699	1107
387	700	1104
388	701	1101
389	702	1098
390	705	1098
391	706	1095
392	706	1091
393	707	1088
394	708	1085
395	709	1082
396	711	1081
397	712	1078
398	713	1075
399	714	1072
400	715	1069
401	716	1066
402	719	1065
403	720	1062
404	721	1059
405	722	1056
406	723	1053
407	723	1050
408	728	1052
409	730	1050
410	732	1049
411	734	1048
412	736	1046
413	736	1043
414	737	1039
415	738	1037
416	740	1035
417	742	1033
418	743	1030
419	744	1027
420	745	1024
421	745	1021
422	747	1020
423	749	1018
424	750	1015
425	751	1012
426	752	1009
427	753	1006
428	755	1004
429	756	1002
430	758	1001
431	760	999
432	764	1001
433	765	998
434	766	996
435	767	993
436	769	990
437	772	991
438	776	991
439	778	990
440	780	989
441	781	986
442	782	983
443	783	980
444	784	977
445	789	980
446	790	977
447	791	975
448	792	972
449	795	972
450	796	969
451	797	966
452	798	963
453	799	961
454	800	959
455	803	958
456	804	956
457	806	953
458	807	951
